red,rojo
blue,azul
yellow,amarillo
orange,naranja
brown,cafe
black,negro
green,verde
one,uno
two,dos
three,tres
four,cuatr
five,cinco
six,seis
seven,siete
eight,ocho
nine,nueve
ten,diez
house,casa
cat,gato
dog,perro
tree,arbol
water,agua
bird,pajaro
sheep,obeja
bee,abeja
fox,zorro
computer,computadora
happy,feliz
sad,triste
angry,enojado
hungry,ambriento
dress,vestido
shirt,camisa
jacket,chaqueta
cellphone,celular
nails,uñas
finger,dedo
fingers,dedos
dramatic,dramatica
dress,vestido
skirt,falda
socks,calcetines
fun,divertido
bored,aburrido
love,amor
hate,odio
i,yo
she,ella
he,el
they,ellos
we,nosotros
you,tu
it,eso
my,mi
leg,pierna
arm,brazo
hand,mano
hands,manos
bye,adios
hello,hola
ocean,oceano
see,ver
to,para
from,de
snake,serpiente
have,tengo
has,tiene
work,trabajo
school,escuela
food,comida
breakfast,desayuno
lunch,almuerzo
dinner,cena
child,niño
children,niños
boy,niño
girl,niña
man,hombre
men,hombres
teacher,maestro
women,mujeres
keyboard,teclado
letter,carta
jump,saltar
talk,hablar
run,correr
see,ver
healthy,saludable
free,libre
whale,ballena
while,mientras
where,donde
who,quien
what,que
whose,cuyo
whom,quien
wich,cual
duck,pato
beautiful,hermosa
ugly,feo
dumb,tonto
smart,inteligente
news,noticias
parrot,loro
a,un
before,antes
after,despues
tomorrow,mañana
morning,mañana
today,hoy
night,noche
afternoon,tarde
sunset,atardecer
but,pero
during,durante
in,en
following,seguir
are,son
is,es
am,soy
because,porque
